Ifj. Kalmár Tibor	Kalmár Tibor	1.664935064935065
Ifj. Kalmár Tibor	Nádas Gábor	1.342857142857143
Szenes Iván	Vándor Kálmán	1.0207792207792208
Brand István	Eisemann Mihály	1.0
G. Dénes György	Tradícionális	1.0207792207792208
Nagy István S	Payer András	1.1142857142857143
Nagy István S	S. Nagy István	1.9662337662337661
Payer András	S. Nagy István	1.8207792207792208
Buda Gábor	Weöres Sándor	1.0415584415584416
Buda Gábor	Tradícionális	1.0103896103896104
Buda Gábor	Petőfi Sándor	1.0103896103896104
Behár György	Buda Gábor	1.0
Buda Gábor	Kányádi Sándor	1.0415584415584416
Csik István	Tabár István	1.1662337662337663
Csik István	Vilmányi Gábor	1.187012987012987
Tabár István	Vilmányi Gábor	1.238961038961039
Kékes Zoltán	Szikora Róbert	1.135064935064935
Nagy István S	Pásztor László	1.1454545454545455
Pásztor László	S. Nagy István	1.187012987012987
Bódi László	Tóth Zoltán	1.3012987012987014
Boros Csaba	Tóth Zoltán	1.1246753246753247
Boros Csaba	Bódi László	1.5506493506493506
Lengyelfi Miklós	Márton András	2.6311688311688313
Laár András	Lengyelfi Miklós	2.496103896103896
Laár András	Márton András	2.4857142857142858
Kékes Zoltán	Penczi Pál	1.3844155844155845
Jeszenszky Béla	Kékes Zoltán	1.3844155844155845
Kékes Zoltán	Novai Anna	1.425974025974026
Jeszenszky Béla	Penczi Pál	1.238961038961039
Novai Anna	Penczi Pál	1.342857142857143
Jeszenszky Béla	Novai Anna	1.3012987012987014
Jakab György	Pásztor László	2.7766233766233768
Hatvani Emese	Jakab György	2.5896103896103897
Lerch István	Menyhárt János	1.425974025974026
Nagy Tibor	Nagy Tibor Béla	1.3324675324675326
Juhász Sándor	Nagy Tibor	1.0935064935064935
Tariska Szabolcs	Tövisházi Ambrus	1.7688311688311689
Tariska Szabolcs	Tradícionális	1.0
Tradícionális	Tövisházi Ambrus	1.0
S Nagy István	S. Nagy István	4.355844155844156
Németh Gergely	Prieger Szabolcs	1.883116883116883
Prieger Szabolcs	Prieger Zsolt	1.883116883116883
Németh Gergely	Prieger Zsolt	2.0597402597402596
Németh Gergely	Németh Judit	1.1662337662337663
Németh Judit	Prieger Szabolcs	1.1662337662337663
Németh Judit	Prieger Zsolt	1.1662337662337663
Orbán Tamás	Szabó Zoltán	1.1662337662337663
Németh Gábor	Szenes Iván	1.155844155844156
Nagy István S	Németh Gábor	1.0103896103896104
Németh Gábor	S. Nagy István	1.0623376623376624
Mihály Tamás	Trunkos András	1.2493506493506494
Szenes Andor	Szenes Iván	1.0207792207792208
Máté Péter	S. Nagy István	2.090909090909091
G. Dénes György	Wolf Péter	1.0415584415584416
Payer András	S Nagy István	1.3844155844155845
Fényes Szabolcs	Gém Dénes György	1.0103896103896104
Fényes Szabolcs	G. Dénes György	1.1662337662337663
Bágya András	Szenes Iván	1.5818181818181818
Bágya András	S. Nagy István	1.155844155844156
Heilig Gábor	Malek Miklós	1.0311688311688312
Nádas Gábor	S. Nagy István	1.0207792207792208
Fülöp Kálmán	Majláth Júlia	1.155844155844156
Blum József	Szenes Iván	1.1974025974025975
Ifj. Kalmár Tibor	Vécsey Ernő	1.135064935064935
Harsányi Béla	Majláth Júlia	1.0311688311688312
Deák Tamás	Ifj. Kalmár Tibor	1.0311688311688312
Behár György	S. Nagy István	1.0311688311688312
Pély Barna	Pély Barnabás	1.6025974025974026
Pély Barnabás	Szabó Ágnes	1.2181818181818183
Pély Barnabás	Romhányi Áron	1.664935064935065
Pély Barna	Szabó Ágnes	1.135064935064935
Pély Barna	Romhányi Áron	1.290909090909091
Romhányi Áron	Szabó Ágnes	1.2285714285714286
Szabó Ágnes	Szolnoki Péter	1.0415584415584416
Szabó Ágnes	Török Tamás	1.0415584415584416
Presser Gábor	Sztevanovity Dusán	4.71948051948052
Szabó Ágnes	Szentmihályi Gábor	1.0
Szentmihályi Gábor	Török Tamás	1.0
Szentmihályi Gábor	Szolnoki Péter	1.0
Dés László	Geszti Péter	1.8103896103896104
Orbán Tamás	Rakonczai Viktor	1.4155844155844155
Havas Lajos	Orbán Tamás	1.0103896103896104
Csicsák Norbert	Havas Lajos	1.187012987012987
Havas Lajos	Rakonczai Viktor	1.0103896103896104
Csicsák Norbert	Orbán Tamás	1.0103896103896104
Csicsák Norbert	Rakonczai Viktor	1.0103896103896104
Orbán Tamás	Rácz Gergő	1.0415584415584416
Koczka Géza	Tradícionális	1.238961038961039
Margit József	Petőfi Sándor	1.0623376623376624
Jenei Szilveszter	Petőfi Sándor	1.0311688311688312
Jenei Szilveszter	Margit József	1.5194805194805194
Koltay Gergely	Petőfi Sándor	1.051948051948052
Koltay Gergely	Margit József	1.8415584415584414
Bradányi Iván	Nagy Tibor	1.1142857142857143
Varga Livius	Varga László	1.2077922077922079
Gerdesits Ferenc	Varga Livius	1.509090909090909
Gerdesits Ferenc	Varga László	1.2077922077922079
Kálmán Imre	Szenes Iván	1.0207792207792208
Buday Dénes	Szécsén Mihály	1.0415584415584416
Szendrey Zsolt Károly	Zana Zoltán	1.6753246753246753
László Viktor	Szendrey Zsolt Károly	1.1142857142857143
Szabó Leslie	Szabó Nagy László	1.831168831168831
Dandó Zoltán	Fehér Attila	1.1142857142857143
Dandó Zoltán	Erdélyi András	1.0207792207792208
Erdélyi András	Fehér Attila	1.0207792207792208
Kiss Zoltán	Nagy László	1.2285714285714286
Erdélyi András	Nagy László	1.051948051948052
Erdélyi András	Havas Lajos	1.0935064935064935
Erdélyi András	Lombos Márton	1.0727272727272728
Havas Lajos	Nagy László	1.051948051948052
Lombos Márton	Nagy László	1.0623376623376624
Havas Lajos	Lombos Márton	1.187012987012987
Dandó Zoltán	Havas Lajos	1.0
Dandó Zoltán	Lombos Márton	1.0
Behár György	Szenes Iván	1.4779220779220779
G. Dénes György	Szenes Iván	1.0103896103896104
Bradányi Iván	Horváth Jenő	1.0
Kotsy Krisztina	Valla Attila	1.0
Kotsy Krisztina	Nagy László	1.051948051948052
Nagy László	Valla Attila	1.051948051948052
Duba Gábor	Nagy László	1.0311688311688312
Nagy László	Orbán Tamás	1.0831168831168831
Szörényi Levente	Tolcsvay Nagy László	1.0311688311688312
Bródy János	Tolcsvay Nagy László	2.735064935064935
Fülöp Kálmán	Wolf Péter	1.3844155844155845
Payer András	Szenes Iván	1.0623376623376624
Bradányi Iván	Koncz Tibor	1.0207792207792208
S. Nagy István	Wolf Péter	1.2805194805194806
Bradányi Iván	Szabó Sándor	1.0207792207792208
Behár György	Nagy István S	1.0103896103896104
Barcza Sándor	Komjáti Ádám	1.6441558441558441
Komjáti Ádám	Ozsváth Gergely	1.8415584415584414
Baranyai Dániel	Komjáti Ádám	1.7792207792207793
Barcza Sándor	Ozsváth Gergely	1.8935064935064934
Baranyai Dániel	Barcza Sándor	1.8103896103896104
Baranyai Dániel	Ozsváth Gergely	2.0285714285714285
Janicsák István	Szűts István	1.0
Rácz Gergő	Szabó Ágnes	1.0831168831168831
Rakonczai Viktor	Szabó Ágnes	1.1766233766233767
Geszti Péter	Rácz Gergő	1.103896103896104
Geszti Péter	Rakonczai Viktor	1.0831168831168831
Major Eszter	Rácz Gergő	1.2077922077922079
Major Eszter	Rakonczai Viktor	1.342857142857143
Johnny K. Palmer	Rácz Gergő	1.051948051948052
Johnny K. Palmer	Rakonczai Viktor	1.0311688311688312
Békeffi István	Eisemann Mihály	1.187012987012987
Máté Péter	Nagy István S	1.238961038961039
